#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97553	853986	854497	34242	34705	YOL133W	YOR319W	HRT1	HSH49	HRT2|RBX1|ROC1|SCF ubiquitin ligase complex subunit HRT1|L000004443	L000003014	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q08273	-	NP_014508	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892050	854497	853293	34705	33610	YOR319W	YJL148W	HSH49	RPA34	L000003014	CST21|DNA-directed RNA polymerase I subunit RPA34|A34.5|L000004132|L000003000|S000029123	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1699	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - rpa34 [SGA score = 0.1699, P-value = 8.076E-28]	-	BIOGRID	Q99181	-	NP_014964	P47006	-	NP_012387	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892051	854497	853581	34705	33873	YOR319W	YJR117W	HSH49	STE24	L000003014	AFC1|PIO2|L000003457	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1604	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - ste24 [SGA score = 0.1604, P-value = 1.828E-11]	-	BIOGRID	Q99181	-	NP_014964	P47154	-	NP_012651	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892052	854497	853923	34705	34180	YOR319W	YKR049C	HSH49	FMP46	L000003014	-	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1837	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - fmp46 [SGA score = 0.1837, P-value = 4.573E-14]	-	BIOGRID	Q99181	-	NP_014964	P36141	-	NP_012975	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892053	854497	850997	34705	31556	YOR319W	YLR290C	HSH49	YLR290C	L000003014	-	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1676	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - coq11 [SGA score = 0.1676, P-value = 0.005038]	-	BIOGRID	Q99181	-	NP_014964	Q05892	-	NP_013393	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892054	854497	855360	34705	35492	YOR319W	YMR312W	HSH49	ELP6	L000003014	HAP3|KTI4|TOT6|Elongator subunit ELP6	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1679	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - elp6 [SGA score = 0.1679, P-value = 6.539E-33]	-	BIOGRID	Q99181	-	NP_014964	Q04868	-	NP_014043	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892055	854497	855739	34705	35831	YOR319W	YNR006W	HSH49	VPS27	L000003014	DID7|GRD11|SSV17|VPL23|VPT27|ESCRT-0 subunit protein VPS27|L000002790	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1692	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - vps27 [SGA score = 0.1692, P-value = 0.01687]	-	BIOGRID	Q99181	-	NP_014964	P40343	-	NP_014403	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954017	854497	852246	34705	32663	YOR319W	YBL034C	HSH49	STU1	L000003014	L000002138	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2002	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - stu1-6 [SGA score = -0.2002, P-value = 3.951E-8]	-	BIOGRID	Q99181	-	NP_014964	P38198	-	NP_009519	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954018	854497	852230	34705	32648	YOR319W	YBL050W	HSH49	SEC17	L000003014	RNS3|L000001841	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1664	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - sec17-1 [SGA score = -0.1664, P-value = 2.263E-6]	-	BIOGRID	Q99181	-	NP_014964	P32602	-	NP_009503	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954019	854497	852169	34705	32598	YOR319W	YBL105C	HSH49	PKC1	L000003014	CLY15|CLY5|CLY7|HPO2|STT1|protein kinase C|L000001446|L000000362|S000029091	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1495	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - pkc1-2 [SGA score = -0.1495, P-value = 3.562E-5]	-	BIOGRID	Q99181	-	NP_014964	P24583	-	NP_009445	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954020	854497	852406	34705	32813	YOR319W	YBR109C	HSH49	CMD1	L000003014	calmodulin|CaM|L000000365	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1431	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - cmd1-3 [SGA score = -0.1431, P-value = 0.003941]	-	BIOGRID	Q99181	-	NP_014964	P06787	-	NP_009667	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954021	854497	852407	34705	32814	YOR319W	YBR110W	HSH49	ALG1	L000003014	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase|L000000076	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1632	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - alg1-1 [SGA score = -0.1632, P-value = 0.0108]	-	BIOGRID	Q99181	-	NP_014964	P16661	-	NP_009668	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954022	854497	852539	34705	32932	YOR319W	YBR237W	HSH49	PRP5	L000003014	RNA5|DEAD-box RNA helicase PRP5|L000001498	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.418	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp5-1 [SGA score = -0.4180, P-value = 2.148E-13]	-	BIOGRID	Q99181	-	NP_014964	P21372	-	NP_009796	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954023	854497	851531	34705	32026	YOR319W	YDL030W	HSH49	PRP9	L000003014	L000001501	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.5577	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp9-1 [SGA score = -0.5577, P-value = 0]	-	BIOGRID	Q99181	-	NP_014964	P19736	-	NP_010254	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954024	854497	851518	34705	32016	YOR319W	YDL043C	HSH49	PRP11	L000003014	RNA11|L000001502	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2333	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp11-ts [SGA score = -0.2333, P-value = 1.741E-9]	-	BIOGRID	Q99181	-	NP_014964	Q07350	-	NP_010241	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954025	854497	851501	34705	32000	YOR319W	YDL058W	HSH49	USO1	L000003014	INT1|L000002446	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1324	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - uso1-1 [SGA score = -0.1324, P-value = 0.04175]	-	BIOGRID	Q99181	-	NP_014964	P25386	-	NP_010225	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954026	854497	851471	34705	31973	YOR319W	YDL087C	HSH49	LUC7	L000003014	EPE1|EXM2|L000003348	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.4561	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - luc7-1 [SGA score = -0.4561, P-value = 1.387E-24]	-	BIOGRID	Q99181	-	NP_014964	Q07508	-	NP_010196	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954027	854497	851460	34705	31964	YOR319W	YDL098C	HSH49	SNU23	L000003014	-	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.3405	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - snu23-5001 [SGA score = -0.3405, P-value = 5.383E-13]	-	BIOGRID	Q99181	-	NP_014964	Q12368	-	NP_010185	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954028	854497	851319	34705	31838	YOR319W	YDL208W	HSH49	NHP2	L000003014	snoRNA-binding protein NHP2|L000001243	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1256	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - nhp2-5001 [SGA score = -0.1256, P-value = 4.67E-5]	-	BIOGRID	Q99181	-	NP_014964	P32495	-	NP_010073	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954029	854497	851615	34705	32100	YOR319W	YDR045C	HSH49	RPC11	L000003014	DNA-directed RNA polymerase III core subunit RPC11|C11|L000004954	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1887	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - rpc11-5001 [SGA score = -0.1887, P-value = 1.266E-10]	-	BIOGRID	Q99181	-	NP_014964	Q04307	-	NP_010330	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954030	854497	851661	34705	32144	YOR319W	YDR088C	HSH49	SLU7	L000003014	SLT17|L000001922	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1338	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - slu7-ts2 [SGA score = -0.1338, P-value = 0.03548]	-	BIOGRID	Q99181	-	NP_014964	Q02775	-	NP_010373	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954031	854497	851752	34705	32225	YOR319W	YDR172W	HSH49	SUP35	L000003014	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.3325	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - sup35-td [SGA score = -0.3325, P-value = 8.285E-15]	-	BIOGRID	Q99181	-	NP_014964	P05453	-	NP_010457	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954032	854497	851830	34705	32294	YOR319W	YDR243C	HSH49	PRP28	L000003014	L000001509	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.166	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp28-101 [SGA score = -0.1660, P-value = 0.004299]	-	BIOGRID	Q99181	-	NP_014964	P23394	-	NP_010529	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954033	854497	852025	34705	32475	YOR319W	YDR416W	HSH49	SYF1	L000003014	NTC90|L000004195	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1242	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - syf1-5001 [SGA score = -0.1242, P-value = 0.0008872]	-	BIOGRID	Q99181	-	NP_014964	Q04048	-	NP_010704	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954034	854497	852047	34705	32493	YOR319W	YDR437W	HSH49	GPI19	L000003014	-	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.21	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - gpi19-2 [SGA score = -0.2100, P-value = 2.492E-6]	-	BIOGRID	Q99181	-	NP_014964	Q04082	-	NP_010725	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954035	854497	850504	34705	31107	YOR319W	YFL039C	HSH49	ACT1	L000003014	ABY1|END7|actin|L000000025	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2729	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - act1-108 [SGA score = -0.1705, P-value = 0.0008116]|alleles: hsh49-5002 - act1-122 [SGA score = -0.1361, P-value = 0.0002238]|alleles: hsh49-5002 - act1-124 [SGA score = -0.1484, P-value = 0.01176]|alleles: hsh49-5002 - act1-125 [SGA score = -0.2729, P-value = 6.663E-34]|alleles: hsh49-5002 - act1-132 [SGA score = -0.1369, P-value = 0.00283]|alleles: hsh49-5002 - act1-136 [SGA score = -0.1521, P-value = 1.299E-11]	-	BIOGRID	Q99181	-	NP_014964	P60010	-	NP_116614	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954036	854497	852740	34705	33115	YOR319W	YGL137W	HSH49	SEC27	L000003014	L000001848	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1638	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - sec27-1 [SGA score = -0.1638, P-value = 1.486E-17]	-	BIOGRID	Q99181	-	NP_014964	P41811	-	NP_011378	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954037	854497	852885	34705	33246	YOR319W	YGR002C	HSH49	SWC4	L000003014	EAF2|GOD1	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2444	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - swc4-4 [SGA score = -0.2444, P-value = 8.345E-5]	-	BIOGRID	Q99181	-	NP_014964	P53201	-	NP_011516	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954038	854497	852889	34705	33250	YOR319W	YGR006W	HSH49	PRP18	L000003014	L000001505	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.122	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp18-ts [SGA score = -0.1220, P-value = 0.00354]	-	BIOGRID	Q99181	-	NP_014964	P33411	-	NP_011520	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954039	854497	853060	34705	33404	YOR319W	YGR156W	HSH49	PTI1	L000003014	-	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.3713	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - pti1-ts1-supp1 [SGA score = -0.3713, P-value = 2.395E-7]	-	BIOGRID	Q99181	-	NP_014964	P39927	-	NP_011672	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954040	854497	853195	34705	33528	YOR319W	YGR278W	HSH49	CWC22	L000003014	-	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2031	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - cwc22-5001 [SGA score = -0.2031, P-value = 2.81E-11]	-	BIOGRID	Q99181	-	NP_014964	P53333	-	NP_011794	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954041	854497	856569	34705	36598	YOR319W	YHR164C	HSH49	DNA2	L000003014	WEB2|bifuctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2|L000003158	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1625	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - dna2-2 [SGA score = -0.1625, P-value = 7.611E-6]	-	BIOGRID	Q99181	-	NP_014964	P38859	-	NP_012034	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954042	854497	854813	34705	34988	YOR319W	YIL004C	HSH49	BET1	L000003014	SLY12|L000000171	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.3914	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - bet1-1 [SGA score = -0.3914, P-value = 1.896E-10]	-	BIOGRID	Q99181	-	NP_014964	P22804	-	NP_012262	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954043	854497	854822	34705	34997	YOR319W	YIR006C	HSH49	PAN1	L000003014	DIM2|MDP3|MIP3|L000001335	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1579	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - pan1-4 [SGA score = -0.1579, P-value = 0.0003413]	-	BIOGRID	Q99181	-	NP_014964	P32521	-	NP_012271	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954044	854497	854825	34705	35000	YOR319W	YIR008C	HSH49	PRI1	L000003014	DNA primase subunit PRI1|L000001489	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2957	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - pri1-m4 [SGA score = -0.2957, P-value = 1.604E-8]	-	BIOGRID	Q99181	-	NP_014964	P10363	-	NP_012273	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954045	854497	853442	34705	33744	YOR319W	YJL011C	HSH49	RPC17	L000003014	DNA-directed RNA polymerase III subunit RPC17|C17	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2176	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - rpc17-5001 [SGA score = -0.2176, P-value = 2.872E-10]	-	BIOGRID	Q99181	-	NP_014964	P47076	-	NP_012523	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954046	854497	853227	34705	33555	YOR319W	YJL203W	HSH49	PRP21	L000003014	SPP91|L000001507	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.369	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - prp21-ts [SGA score = -0.3690, P-value = 3.125E-10]	-	BIOGRID	Q99181	-	NP_014964	P32524	-	NP_012332	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954047	854497	853475	34705	33773	YOR319W	YJR017C	HSH49	ESS1	L000003014	PIN1|PTF1|peptidylprolyl isomerase ESS1|L000000587	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1697	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - ess1-h164r [SGA score = -0.1697, P-value = 2.657E-23]	-	BIOGRID	Q99181	-	NP_014964	P22696	-	NP_012551	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954048	854497	853499	34705	33793	YOR319W	YJR042W	HSH49	NUP85	L000003014	RAT9|L000003023	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.1461	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - nup85-5001 [SGA score = -0.1461, P-value = 0.007144]	-	BIOGRID	Q99181	-	NP_014964	P46673	-	NP_012576	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954049	854497	853539	34705	33832	YOR319W	YJR076C	HSH49	CDC11	L000003014	PSL9|septin CDC11|L000000251	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.172	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - cdc11-5 [SGA score = -0.1720, P-value = 0.01595]	-	BIOGRID	Q99181	-	NP_014964	P32458	-	NP_012610	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954050	854497	853681	34705	33965	YOR319W	YKL173W	HSH49	SNU114	L000003014	GIN10|U5 snRNP GTPase SNU114|L000003541	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2242	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - snu114-60 [SGA score = -0.2242, P-value = 1.431E-15]	-	BIOGRID	Q99181	-	NP_014964	P36048	-	NP_012748	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954051	854497	853638	34705	33925	YOR319W	YKL196C	HSH49	YKT6	L000003014	palmitoyltransferase YKT6|L000004163	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2606	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - ykt6-5001 [SGA score = -0.2606, P-value = 4.873E-27]	-	BIOGRID	Q99181	-	NP_014964	P36015	-	NP_012725	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1954052	854497	850713	34705	31300	YOR319W	YLR026C	HSH49	SED5	L000003014	L000001861	Negative Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	-0.2205	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - sed5-1 [SGA score = -0.2205, P-value = 1.924E-5]	-	BIOGRID	Q99181	-	NP_014964	Q01590	-	NP_013126	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
